City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,juneau,58.3019,-134.4197,44.6,97,100,6.91,US,1682949123
84,velikiy ustyug,60.7644,46.3106,53.67,97,100,4.72,RU,1682949223
85,busselton,-33.65,115.3333,54.79,79,0,12.19,AU,1682949223
86,san antonio,29.4241,-98.4936,71.06,65,0,6.91,US,1682948937
87,broome,42.2506,-75.833,48.88,79,75,14.97,US,1682949223
88,hasaki,35.7333,140.8333,59.4,81,22,25.39,JP,1682949224
89,shirakawa,37.1223,140.2376,47.53,76,91,9.15,JP,1682949224
90,nhulunbuy,-12.2333,136.7667,79.41,78,40,11.5,AU,1682949224
91,coahuayana,18.7333,-103.6833,75.15,38,100,0.96,MX,1682949224
92,kosonsoy,41.2561,71.5508,70.36,36,56,5.75,UZ,1682949224
93,asau,46.4333,26.4,61.72,49,34,7.18,RO,1682949224
94,ribeira grande,38.5167,-28.7,64.8,72,20,18.01,PT,1682949224
95,eureka,40.8021,-124.1637,50.2,93,100,10.0,US,1682949042
96,cayenne,4.9333,-52.3333,84.24,74,100,16.11,GF,1682949225
97,dudinka,69.4058,86.1778,18.63,81,12,8.63,RU,1682949225
98,ostrovnoy,68.0531,39.5131,34.95,99,100,10.58,RU,1682949225
99,namibe,-15.1961,12.1522,78.39,76,36,10.71,AO,1682949225
100,chimbote,-9.0853,-78.5783,76.1,81,69,7.2,PE,1682949225
101,dikson,73.5069,80.5464,26.71,88,100,15.26,RU,1682949226
102,thompson,55.7435,-97.8558,33.96,80,0,2.3,CA,1682949226
103,pedernales,18.0384,-71.744,83.32,62,70,3.29,DO,1682949226
104,morondava,-20.2833,44.2833,78.35,60,0,10.18,MG,1682949226
105,machali,-34.1833,-70.6667,43.88,100,0,2.3,CL,1682949226
106,katakwi,1.8911,33.9661,69.28,87,100,4.07,UG,1682949226
107,juanacatlan,20.5167,-103.1667,60.22,42,60,1.34,MX,1682949226
108,takoradi,4.8845,-1.7554,85.14,70,100,9.8,GH,1682949227
109,hithadhoo,-0.6,73.0833,82.8,78,100,11.68,MV,1682949227
110,port elizabeth,-33.918,25.5701,75.09,72,0,18.41,ZA,1682949227
111,pandan,14.0453,124.1694,81.09,82,32,9.35,PH,1682949227
112,romny,50.751,33.4747,55.44,49,4,15.7,UA,1682949227
113,necochea,-38.5473,-58.7368,57.2,50,6,13.47,AR,1682949228
114,port hardy,50.6996,-127.4199,46.58,100,100,2.3,CA,1682949228
115,yumen,40.2833,97.2,62.89,9,2,7.76,CN,1682949228
116,kapaa,22.0752,-159.319,72.1,87,5,8.1,US,1682949228
117,besuki,-7.7338,113.6979,78.67,85,100,4.5,ID,1682949228
118,pinsk,52.1229,26.0951,54.91,38,14,3.69,BY,1682949228
119,kununurra,-15.7667,128.7333,75.18,69,20,4.61,AU,1682949228
120,dong hoi,17.4833,106.6,74.7,85,15,7.16,VN,1682949229
121,sudak,44.85,34.9667,51.64,74,96,12.19,UA,1682948998
122,san quintin,30.4833,-115.95,57.09,75,100,8.46,MX,1682949229
123,san patricio,28.017,-97.5169,75.85,72,6,10.27,US,1682949229
124,quatre cocos,-20.2078,57.7625,80.71,78,57,5.06,MU,1682949229
125,stokmarknes,68.5646,14.9108,42.76,75,75,2.3,NO,1682949229
126,sept-iles,50.2001,-66.3821,44.06,72,100,19.57,CA,1682949024
127,campbell river,50.0163,-125.2446,49.44,100,75,2.3,CA,1682949064
128,nikolskoye,59.7035,30.7861,51.69,35,10,11.34,RU,1682949230
129,victoria,22.2855,114.1577,77.38,73,97,13.0,HK,1682949109
130,shaunavon,49.6501,-108.4181,40.78,52,56,14.41,CA,1682949230
131,hambantota,6.1241,81.1185,82.8,76,100,12.39,LK,1682949230
132,pemangkat,1.1667,108.9667,80.78,80,93,2.21,ID,1682949231
133,padang,-0.9492,100.3543,80.65,88,100,2.82,ID,1682949079
134,kodiak,57.79,-152.4072,35.11,80,100,0.0,US,1682949231
135,pathein,16.7833,94.7333,84.07,67,37,8.32,MM,1682949231
136,luderitz,-26.6481,15.1594,66.85,59,0,15.08,NA,1682949231
137,lucapa,-8.4192,20.7447,81.5,49,31,4.83,AO,1682949231
138,lakes entrance,-37.8811,147.981,54.16,71,100,8.77,AU,1682949231
139,port hedland,-20.3167,118.5667,75.25,64,100,1.14,AU,1682949232
140,deputatskiy,69.3,139.9,19.22,97,100,1.77,RU,1682949232
141,macamic,48.7502,-78.9996,44.67,94,100,11.79,CA,1682949232
142,rocha,-34.4833,-54.3333,64.63,44,53,10.65,UY,1682949232
143,honiara,-9.4333,159.95,79.56,83,100,7.49,SB,1682949232
144,codrington,-38.2667,141.9667,51.69,91,93,8.72,AU,1682949233
145,prainha,-1.8,-53.48,82.8,75,97,3.87,BR,1682949233
146,luoyang,34.6836,112.4536,72.27,37,20,15.95,CN,1682949233
147,bredasdorp,-34.5322,20.0403,64.65,57,100,6.71,ZA,1682949233
148,alugan,12.2188,125.4808,81.93,78,83,10.07,PH,1682949233
149,narsaq,60.9167,-46.05,44.82,53,37,6.04,GL,1682949234
150,jakar,27.5492,90.7525,47.89,98,100,3.71,BT,1682949234
151,davila,18.4726,120.5763,81.45,81,0,17.87,PH,1682949234
152,sinnamary,5.3833,-52.95,84.07,68,45,11.52,GF,1682949234
153,jamame,0.0722,42.7506,83.71,67,100,10.83,SO,1682949234
154,butaritari,3.0707,172.7902,83.07,78,22,16.04,KI,1682949234
155,mahebourg,-20.4081,57.7,80.89,83,75,1.14,MU,1682949235
156,khatanga,71.9667,102.5,3.11,91,55,6.38,RU,1682949235
157,negombo,7.2083,79.8358,84.25,79,40,14.97,LK,1682949235
158,puerto ayora,-0.7393,-90.3518,83.55,90,7,2.26,EC,1682949235
159,pisco,-13.7,-76.2167,70.02,83,29,8.05,PE,1682949235
160,bataipora,-22.2953,-53.2711,77.68,62,17,3.96,BR,1682949237
161,waterboro,43.5356,-70.7151,57.29,83,100,7.0,US,1682949238
162,vostok,46.4856,135.8833,32.47,93,3,5.66,RU,1682949238
163,komsomolskiy,40.4272,71.7189,79.52,22,100,2.3,UZ,1682949238
164,cidreira,-30.1811,-50.2056,76.23,58,23,9.95,BR,1682949239
165,cabo san lucas,22.8909,-109.9124,75.51,46,20,12.66,MX,1682949147
166,barrow,71.2906,-156.7887,8.62,92,100,13.8,US,1682949239
167,dalvik,65.9702,-18.5286,35.53,76,92,2.64,IS,1682949239
168,udachnyy,66.4167,112.4,34.45,63,100,27.47,RU,1682949239
169,sao paulo de olivenca,-3.3783,-68.8725,82.4,75,90,1.88,BR,1682949239
170,gawler,-34.6,138.7333,59.22,97,100,4.56,AU,1682949240
171,la ronge,55.1001,-105.2842,37.65,60,40,6.91,CA,1682949240
172,ostersund,63.1792,14.6357,42.62,56,0,8.05,SE,1682949118
173,broken hill,-31.95,141.4333,62.73,46,100,11.05,AU,1682949240
174,buraydah,26.326,43.975,90.05,15,0,7.67,SA,1682949240
175,ahipara,-35.1667,173.1667,62.47,95,8,6.46,NZ,1682949241
176,lujan,-34.5703,-59.105,60.13,54,0,4.0,AR,1682949241
177,mount gambier,-37.8333,140.7667,53.76,88,100,5.95,AU,1682949241
178,seoul,37.5683,126.9778,51.4,65,0,2.3,KR,1682949051
179,tiksi,71.6872,128.8694,26.35,96,100,8.57,RU,1682949241
180,pacifica,37.6138,-122.4869,53.6,86,100,13.0,US,1682949241
181,iqaluit,63.7506,-68.5145,24.53,85,75,3.44,CA,1682949242
182,urdoma,61.7533,48.5442,50.86,88,100,7.7,RU,1682949242
183,san cristobal,7.7669,-72.225,73.58,57,98,6.58,VE,1682949170
184,srandakan,-7.9386,110.2506,79.12,84,100,1.45,ID,1682949242
185,zhigansk,66.7697,123.3711,29.57,87,15,16.22,RU,1682949242
186,devli,25.75,75.3833,82.26,38,33,2.3,IN,1682949242
187,maragogi,-9.0122,-35.2225,83.89,62,96,7.23,BR,1682949243
188,stantsionno-oyashinskiy,55.4664,83.8245,33.89,72,100,9.42,RU,1682949243
189,yar-sale,66.8333,70.8333,18.54,95,14,4.9,RU,1682949243
190,portland,45.5234,-122.6762,51.08,83,80,1.01,US,1682949210
191,talnakh,69.4865,88.3972,18.21,89,15,3.15,RU,1682949243
192,leningradskiy,69.3833,178.4167,-5.44,99,92,5.41,RU,1682949244
193,nhlangano,-27.1167,31.2,73.87,50,30,9.71,SZ,1682949244
194,abu samrah,35.3029,37.1841,71.64,27,60,13.65,SY,1682949244
195,ilulissat,69.2167,-51.1,33.82,55,0,6.91,GL,1682949244
196,beringovskiy,63.05,179.3167,3.0,94,17,8.55,RU,1682949244
197,dingle,10.9995,122.6711,79.81,79,96,6.78,PH,1682949244
198,airai,-8.9266,125.4092,60.21,95,89,1.99,TL,1682949245
199,callaway,30.153,-85.5699,73.94,70,0,17.27,US,1682949245
200,caravelas,-17.7125,-39.2481,81.46,72,82,6.89,BR,1682949245
201,san policarpo,12.1791,125.5072,82.58,77,74,10.96,PH,1682949245
202,kumbo,6.2,10.6667,64.13,79,100,2.95,CM,1682949245
203,palana,59.1167,159.9667,22.44,80,100,6.49,RU,1682949245
